Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
156,tt0225013,2019-12-19,2021-02-16,"Yeh meri ashiqi, yeh meri zindagi kal rahe na rahe... aaa gale lag jaa.... 

Aaj hume malum hua...",Aa Gale Lag Jaa,https://www.imdb.com/title/tt0225013/,movie,4.5,158,1994,"Mystery, Romance",126,1994-01-01,Hamid Ali Khan
157,tt0121989,2019-12-19,2021-02-16,"Dheere dheere aap mere dilki mehman ho gayi... pehle jaaan phir janejaan, phir jaanejaanaa ho gayi...

One of my personal favorite songs. Reminds my childhood time.",Baazi,https://www.imdb.com/title/tt0121989/,movie,6.5,183,1995,"Action, Thriller, Crime, Drama",2328,1995-04-05,Ashutosh Gowariker
158,tt0286620,2019-12-19,2021-02-16,"Yeh teri aankhein jhuki jhuki yeh tera chehra khila khila, badi kismatwala hai woh yeh tera pyar jisse mila...

Great song. childhood favorite. cult song in its time.",Fareb,https://www.imdb.com/title/tt0286620/,movie,4.7,147,1996,"Action, Crime, Drama, Thriller",142,1996-06-28,Vikram Bhatt
159,tt0439464,2019-12-23,2021-02-16,"Accha Sila Diya Tune Mera Pyar Ka.. a cult hit.

Dil Tod Ke Hansti Ho Mera...",Bewafa Sanam,https://www.imdb.com/title/tt0439464/,movie,5.2,144,1995,"Drama, Romance",120,1995-05-12,Gulshan Kumar
160,tt0130350,2020-01-01,2021-02-16,Sat samundar paar mein tere piche piche aungi... cult song. Popular even today's marriage ceremonious programs.,Vishwatma,https://www.imdb.com/title/tt0130350/,movie,6.5,174,1992,"Action, Drama, Thriller",1275,1992-01-24,Rajiv Rai
161,tt0100816,2020-01-01,2021-03-08,"Personal favorite.

Gali gali mein firta hai tu banke kyun banjara, aa mere dil main bas jaa mere ashiq aawara... 
tera pyar hai ek soneka pinjra o shehjadi,
mujhko apani jaan se pyari hai apani aazadi...

IDK why I get goosebumps while humming this.
Azharuddin's wife is heroin. Jackie Shroff is the hero. What a personality of him in this song. Great. What a voice of [link=nm0542317].

Main Teri Mohabbat Main...

Tirchi Topiwale...",Tridev,https://www.imdb.com/title/tt0100816/,movie,6.4,173,1989,"Action, Crime, Drama, Thriller",1953,1989-07-07,Rajiv Rai
162,tt0267246,2020-01-01,2020-01-01,"Kash tum mjuhse ekbar kaho tumko mujhse pyar ho gaya.... I listened this song a million times in my life. This only song can challenge other songs in the list. First 2 minutes is just music, which makes environment of gloom and sorrows. Kumar Shanu wah.",Aatish: Feel the Fire,https://www.imdb.com/title/tt0267246/,movie,5.8,155,1994,"Action, Crime, Drama, Romance, Thriller",775,1994-06-17,Sanjay Gupta
163,tt0310254,2020-01-01,2021-03-08,"Yeh bekhudi deewangi tumhise hai meri jaane jaana, ashiqi awargi tumhise hai meri jaane janaaaaaa, jane ja yeh dil mera tumko na bhool payeenge... what a song what a location.",Tumko Na Bhool Paayenge,https://www.imdb.com/title/tt0310254/,movie,5.6,160,2002,"Action, Romance, Thriller",2922,2002-02-22,Pankaj Parashar
164,tt0234724,2020-01-01,2020-01-01,"Ek pyar ka nagma hai.... actually I am fond of this song by the art more than the music. because the way this music video made was just awesome. Used so many arts. As if anyone watching arts and listening music. I loved the cinematography a lot. Mirrors and colors. The lyric is inspirational and the location of beach, a total combination of a memorable song.",Shor,https://www.imdb.com/title/tt0234724/,movie,7.2,170,1972,Drama,355,,Manoj Kumar
165,tt0083349,2020-01-25,2021-02-16,"Chookar.. mere mann ko.. kiya tune.. kya ishara.. badla yeh mousam.. lage pyara jag sara..... one of the greatest songs of Legend Kishore Kumar. Personal favorite. Nitin Bali cover is also very good.

Sara zamana haseeno ka dewanaa....

Tera jaisa yar kahan...",Yaarana,https://www.imdb.com/title/tt0083349/,movie,7.1,138,1981,"Action, Comedy, Drama, Musical",1769,1981-10-23,Rakesh Kumar
